title,location,brief,style,follow,price tot,price unit,
翠苑五区经典的三房户型南北通透,西湖-翠苑,翠苑五区  | 3室1厅 | 75.68平米 | 南 北 | 简装 | 无电梯,中楼层(共7层)1996年建板楼  -  翠苑,38人关注 / 共10次带看 / 7个月以前发布,348万,单价45984元/平米,
枫华总价低小四居，南北通透，厨卫有窗户、有车位,西湖-翠苑,枫华府第  | 4室2厅 | 142.93平米 | 南 北 | 简装 | 有电梯,中楼层(共11层)2008年建板楼  -  翠苑,74人关注 / 共11次带看 / 6个月以前发布,830万,单价58071元/平米,
房子采光充足 业主自住 产权清晰 无抵押,西湖-翠苑,万塘路300号  | 3室2厅 | 91.89平米 | 南 | 精装 | 无电梯,中楼层(共6层)1998年建板楼  -  翠苑,10人关注 / 共14次带看 / 20天以前发布,368万,单价40048元/平米,
翠苑五区 电梯房 适合人群范围广 总价低,西湖-翠苑,翠苑五区  | 2室1厅 | 65.32平米 | 东南 | 简装 | 有电梯,高楼层(共18层)1998年建塔楼  -  翠苑,31人关注 / 共21次带看 / 3个月以前发布,255万,单价39039元/平米,
两房朝南，小区中间位置，户型格局方正，采光视野好,西湖-翠苑,翠苑四区  | 2室1厅 | 55.91平米 | 南 | 简装 | 无电梯,高楼层(共7层)1993年建板楼  -  翠苑,15人关注 / 共10次带看 / 2个月以前发布,240万,单价42927元/平米,
翠苑二区 不沿街 南北通透 中间层 简单装修,西湖-翠苑,翠苑二区  | 2室1厅 | 51.61平米 | 南 北 | 简装 | 无电梯,中楼层(共6层)1989年建板楼  -  翠苑,0人关注 / 共0次带看 / 12天以前发布,252万,单价48828元/平米,
翠苑二区，南北通透户型，*明采光好,西湖-翠苑,翠苑二区  | 2室1厅 | 54.81平米 | 南 北 | 简装 | 无电梯,高楼层(共7层)1989年建板楼  -  翠苑,40人关注 / 共7次带看 / 3个月以前发布,200万,单价36490元/平米,
*明通透，精装保养好，南北通透，拎包入住，有钥匙,西湖-翠苑,景城花园  | 3室2厅 | 132平米 | 南 北 | 精装 | 有电梯,中楼层(共16层)2005年建板楼  -  翠苑,32人关注 / 共6次带看 / 一年前发布,620万,单价46970元/平米,
中间楼层经典三房，*明户型，单价低,西湖-翠苑,翠苑三区  | 3室1厅 | 66平米 | 东 南 | 简装 | 无电梯,中楼层(共6层)1989年建板楼  -  翠苑,16人关注 / 共15次带看 / 4个月以前发布,250万,单价37879元/平米,
楼层好 纯毛坯 采光充足 带车位，适合改善人群,西湖-翠苑,枫华府第  | 3室2厅 | 155.2平米 | 南 北 | 毛坯 | 有电梯,高楼层(共25层)2008年建板楼  -  翠苑,3人关注 / 共10次带看 / 1个月以前发布,1000万,单价64433元/平米,
户型*明，东边套，中间楼层，小区中间位置。诚心卖。,西湖-翠苑,翠苑四区  | 3室1厅 | 72.2平米 | 南 | 简装 | 无电梯,高楼层(共6层)1993年建板楼  -  翠苑,3人关注 / 共2次带看 / 一年前发布,315万,单价43629元/平米,
一南一北 南北通透，楼层适中，总价低。,西湖-翠苑,翠苑一区  | 2室1厅 | 42.67平米 | 南 北 | 简装 | 无电梯,低楼层(共6层)1988年建板楼  -  翠苑,40人关注 / 共2次带看 / 9个月以前发布,205万,单价48044元/平米,
天苑花园单价低，电梯房。东边套，大三房,西湖-翠苑,天苑花园  | 3室2厅 | 124.65平米 | 东 东北 | 简装 | 有电梯,中楼层(共25层)1998年建塔楼  -  翠苑,49人关注 / 共0次带看 / 11个月以前发布,420万,单价33695元/平米,
精装修，没有双税，楼层好，不沿马路，急售，随时看房,西湖-翠苑,明珠公寓  | 3室2厅 | 80.81平米 | 南 北 | 简装 | 无电梯,高楼层(共5层)1997年建板楼  -  翠苑,16人关注 / 共1次带看 / 2个月以前发布,355万,单价43931元/平米,
翠苑五区，稀有大户型好房，三开间朝南。,西湖-翠苑,翠苑五区  | 4室2厅 | 140.47平米 | 南 北 | 简装 | 无电梯,中楼层(共7层)1997年建板楼  -  翠苑,17人关注 / 共2次带看 / 2个月以前发布,520万,单价37019元/平米,
两房朝南 明厨明卫 光线充足 看房方便,西湖-翠苑,翠苑三区  | 2室1厅 | 49.88平米 | 南 | 简装 | 无电梯,高楼层(共6层)1989年建板楼  -  翠苑,62人关注 / 共6次带看 / 6个月以前发布,195万,单价39094元/平米,
翠苑三区 中间楼层 简单装修 有钥匙 随时看房,西湖-翠苑,翠苑三区  | 3室1厅 | 66.21平米 | 南 | 简装 | 无电梯,中楼层(共6层)1989年建板楼  -  翠苑,29人关注 / 共14次带看 / 3个月以前发布,230万,单价34738元/平米,
翠苑一区 小户型总价低 楼层低 临地铁,西湖-翠苑,翠苑一区  | 1室1厅 | 41.92平米 | 南 北 | 毛坯 | 无电梯,低楼层(共6层)1986年建板楼  -  翠苑,12人关注 / 共9次带看 / 3个月以前发布,180万,单价42939元/平米,
四区优质东边套，环境好，清爽装修！！！,西湖-翠苑,翠苑四区  | 2室1厅 | 55.35平米 | 东 | 简装 | 无电梯,低楼层(共7层)1993年建板楼  -  翠苑,31人关注 / 共10次带看 / 2个月以前发布,238万,单价43000元/平米,
户型方正，两房朝南，采光充足，视野开阔,西湖-翠苑,翠苑东四区  | 3室1厅 | 66.95平米 | 南 | 简装 | 无电梯,高楼层(共7层)1998年建板楼  -  翠苑,18人关注 / 共0次带看 / 3个月以前发布,295万,单价44063元/平米,
三居室户型方正、诚心卖随时可以签约,西湖-翠苑,华星路97号院  | 3室2厅 | 117.13平米 | 南 北 | 简装 | 无电梯,高楼层(共7层)1997年建板楼  -  翠苑,14人关注 / 共0次带看 / 2个月以前发布,395万,单价33724元/平米,
满五唯一，2房朝南，不沿街，采光很好,西湖-翠苑,翠苑三区  | 2室1厅 | 61.07平米 | 南 | 简装 | 无电梯,高楼层(共6层)1989年建板楼  -  翠苑,12人关注 / 共9次带看 / 1个月以前发布,234万,单价38317元/平米,
房子楼层好，单价低，户型南北通透，*明西边套。,西湖-翠苑,翠苑四区  | 2室1厅 | 67.79平米 | 南 北 | 简装 | 无电梯,中楼层(共7层)1993年建板楼  -  翠苑,45人关注 / 共3次带看 / 8个月以前发布,270万,单价39829元/平米,
天苑花园 简装 有电梯 南北两居 朝南卧室明亮,西湖-翠苑,天苑花园  | 2室1厅 | 74.86平米 | 南 | 简装 | 有电梯,高楼层(共18层)1998年建塔楼  -  翠苑,8人关注 / 共4次带看 / 6个月以前发布,290万,单价38739元/平米,
翠苑五区  两房朝南户型  南北通透  中间楼层,西湖-翠苑,翠苑五区  | 2室1厅 | 76.55平米 | 南 北 | 简装 | 无电梯,7层2000年建板楼  -  翠苑,14人关注 / 共12次带看 / 4个月以前发布,296万,单价38668元/平米,
经典户型、适合老人小孩居住的楼层,西湖-翠苑,翠苑二区  | 2室1厅 | 52.35平米 | 南 北 | 精装 | 无电梯,低楼层(共6层)1989年建板楼  -  翠苑,17人关注 / 共6次带看 / 3个月以前发布,220万,单价42025元/平米,
低总价 低价格  低总价 低价格,西湖-翠苑,翠苑四区  | 1室1厅 | 36.7平米 | 南 | 简装 | 无电梯,低楼层(共7层)1993年建板楼  -  翠苑,38人关注 / 共2次带看 / 3个月以前发布,160万,单价43597元/平米,
翠苑二区两室，满五唯一，户型方正。,西湖-翠苑,翠苑二区  | 2室1厅 | 58.33平米 | 南 | 简装 | 无电梯,低楼层(共6层)1989年建板楼  -  翠苑,4人关注 / 共0次带看 / 2个月以前发布,260万,单价44574元/平米,
小区正中间，没有双税，中间楼层，南北通，*明采光佳,西湖-翠苑,翠苑二区  | 2室1厅 | 53.96平米 | 南 | 精装 | 无电梯,低楼层(共6层)1989年建板楼  -  翠苑,8人关注 / 共2次带看 / 2个月以前发布,235万,单价43551元/平米,
翠苑四区 两房朝南的户型  采光无遮挡！！！,西湖-翠苑,翠苑四区  | 2室1厅 | 55.9平米 | 南 | 简装 | 无电梯,中楼层(共7层)1993年建板楼  -  翠苑,27人关注 / 共4次带看 / 3个月以前发布,250万,单价44723元/平米,
翠苑一区 3室1厅 290万,西湖-翠苑,翠苑一区  | 3室1厅 | 60.13平米 | 南 西 北 | 其他 | 无电梯,低楼层(共7层)1988年建板楼  -  翠苑,2人关注 / 共0次带看 / 16天以前发布,290万,单价48229元/平米,
电梯房，三居室。新装修，采光好，中间楼层,西湖-翠苑,天苑花园  | 3室1厅 | 89.88平米 | 南 西 | 精装 | 有电梯,中楼层(共25层)1998年建塔楼  -  翠苑,57人关注 / 共2次带看 / 9个月以前发布,328万,单价36494元/平米,
学苑春晓房源，配套成熟，楼层号，采光充足,西湖-翠苑,学苑春晓  | 1室0厅 | 37.33平米 | 北 | 简装 | 有电梯,高楼层(共8层)2003年建板楼  -  翠苑,86人关注 / 共1次带看 / 6个月以前发布,85万,单价22770元/平米,
翠苑五区 满五年，好楼层3房诚心卖,西湖-翠苑,翠苑五区  | 3室1厅 | 96.14平米 | 西南 | 简装 | 有电梯,高楼层(共18层)1998年建塔楼  -  翠苑,10人关注 / 共2次带看 / 6个月以前发布,430万,单价44727元/平米,
视野好，户型好，装修干净清爽，优质好房房主自荐,西湖-翠苑,翠苑四区  | 3室1厅 | 70.07平米 | 南 | 简装 | 无电梯,高楼层(共6层)1993年建板楼  -  翠苑,39人关注 / 共4次带看 / 3个月以前发布,280万,单价39961元/平米,
翠苑三区精装修，刚需小户型，中间楼层,西湖-翠苑,翠苑三区  | 1室1厅 | 38.19平米 | 南 | 精装 | 无电梯,低楼层(共6层)1989年建板楼  -  翠苑,143人关注 / 共4次带看 / 7个月以前发布,168万,单价43991元/平米,
明珠公寓新上三房，户型方正装修清爽，诚心卖！！,西湖-翠苑,明珠公寓  | 3室2厅 | 108.13平米 | 南 | 简装 | 无电梯,高楼层(共6层)1998年建板楼  -  翠苑,8人关注 / 共1次带看 / 6个月以前发布,500万,单价46241元/平米,
省高法院宿舍，两房朝南，98房龄，小区安静整洁。,西湖-翠苑,华星路88号  | 2室1厅 | 79.97平米 | 南 北 | 简装 | 无电梯,中楼层(共7层)1998年建板楼  -  翠苑,41人关注 / 共8次带看 / 5个月以前发布,310万,单价38765元/平米,
翠苑二区新上3房 满五年 采光好 南北通透  看房随时,西湖-翠苑,翠苑二区  | 3室1厅 | 60.6平米 | 东 南 西 北 | 简装 | 无电梯,高楼层(共7层)1989年建板楼  -  翠苑,4人关注 / 共3次带看 / 3个月以前发布,270万,单价44555元/平米,
两房朝南，中间楼层，业主自住看房方便！,西湖-翠苑,翠苑四区  | 2室1厅 | 55.03平米 | 南 | 简装 | 无电梯,中楼层(共7层)1993年建板楼  -  翠苑,5人关注 / 共1次带看 / 2个月以前发布,245万,单价44522元/平米,
翠苑三区 光线充足 清爽装修 业主诚心出售,西湖-翠苑,翠苑三区  | 2室2厅 | 62.4平米 | 南 | 简装 | 无电梯,高楼层(共6层)1989年建板楼  -  翠苑,34人关注 / 共2次带看 / 1个月以前发布,235万,单价37661元/平米,
翠苑四区 1室1厅 150万,西湖-翠苑,翠苑四区  | 1室1厅 | 39.45平米 | 南 | 其他 | 无电梯,高楼层(共7层)1993年建塔楼  -  翠苑,9人关注 / 共1次带看 / 12天以前发布,150万,单价38023元/平米,
翠苑一区 小户型 2楼南边无大树 拎包入住,西湖-翠苑,翠苑一区  | 1室1厅 | 33.78平米 | 南 | 其他 | 无电梯,低楼层(共6层)1986年建板楼  -  翠苑,2人关注 / 共1次带看 / 12天以前发布,165万,单价48846元/平米,
两房朝南，客厅朝北，*明户型，采光充足，视野开阔,西湖-翠苑,翠苑四区南园  | 2室1厅 | 55平米 | 南 | 简装 | 无电梯,高楼层(共6层)1992年建板楼  -  翠苑,16人关注 / 共13次带看 / 4个月以前发布,225万,单价40910元/平米,
翠苑五区、东边套、低楼层、*明两房、,西湖-翠苑,翠苑五区  | 2室1厅 | 65.39平米 | 南 | 简装 | 无电梯,低楼层(共7层)1996年建板塔结合  -  翠苑,14人关注 / 共19次带看 / 31天以前发布,242万,单价37009元/平米,
翠苑四区，精装小两房，拎包入住,西湖-翠苑,翠苑四区  | 2室1厅 | 43.5平米 | 西 | 精装 | 无电梯,低楼层(共7层)1993年建塔楼  -  翠苑,104人关注 / 共2次带看 / 8个月以前发布,160万,单价36782元/平米,
一区新上两房，南北朝向 诚心卖,西湖-翠苑,翠苑一区  | 2室1厅 | 51.54平米 | 南 | 精装 | 无电梯,高楼层(共7层)1986年建板楼  -  翠苑,15人关注 / 共3次带看 / 7个月以前发布,240万,单价46566元/平米,
清爽装修 中间楼层 明厨明卫 光线充足,西湖-翠苑,翠苑三区  | 1室1厅 | 41.32平米 | 南 | 简装 | 无电梯,中楼层(共6层)1989年建板楼  -  翠苑,28人关注 / 共5次带看 / 5个月以前发布,182万,单价44047元/平米,
低总价，中间楼层，采光好，随时看房,西湖-翠苑,翠苑四区  | 1室1厅 | 37.62平米 | 南 | 简装 | 无电梯,中楼层(共7层)1993年建板楼  -  翠苑,13人关注 / 共5次带看 / 3个月以前发布,158万,单价41999元/平米,
间距大，采光好，小区棒，适合小年轻,西湖-翠苑,枫华府第  | 1室1厅 | 46.03平米 | 南 | 精装 | 有电梯,低楼层(共25层)2008年建板楼  -  翠苑,57人关注 / 共4次带看 / 一年前发布,240万,单价52140元/平米,
翠苑五区，装修两房，*明户型，采光好，南北通透。,西湖-翠苑,翠苑五区  | 2室1厅 | 66.47平米 | 南 北 | 精装 | 无电梯,中楼层(共7层)1996年建板楼  -  翠苑,9人关注 / 共9次带看 / 2个月以前发布,310万,单价46638元/平米,
翠苑北二区 经典3房 两房朝南 双阳台 看房随时 不沿街,西湖-翠苑,翠苑二区北区  | 3室1厅 | 75.52平米 | 南 北 | 简装 | 无电梯,高楼层(共7层)1996年建板楼  -  翠苑,6人关注 / 共0次带看 / 1个月以前发布,300万,单价39725元/平米,
东边套  厨卫*明  中间楼层,西湖-翠苑,翠苑四区  | 1室1厅 | 39.12平米 | 南 | 简装 | 无电梯,中楼层(共7层)1993年建板楼  -  翠苑,19人关注 / 共0次带看 / 3个月以前发布,173万,单价44223元/平米,
翠苑三区 不沿街 楼层好 明厨明卫 光线好,西湖-翠苑,翠苑三区  | 1室1厅 | 41.28平米 | 南 | 简装 | 无电梯,高楼层(共6层)1989年建板楼  -  翠苑,3人关注 / 共0次带看 / 2个月以前发布,163万,单价39487元/平米,
城西低总价、电梯2居室，地铁房,西湖-翠苑,翠苑五区  | 2室1厅 | 65.32平米 | 东南 | 简装 | 有电梯,中楼层(共18层)1998年建板楼  -  翠苑,101人关注 / 共2次带看 / 8个月以前发布,268万,单价41029元/平米,
自住装修，温馨好房，房东诚意出售房主自荐,西湖-翠苑,翠苑五区  | 2室2厅 | 79.26平米 | 南 北 | 精装 | 无电梯,高楼层(共7层)1996年建板楼  -  翠苑,69人关注 / 共7次带看 / 6个月以前发布,270万,单价34066元/平米,
一室一厅 价格可谈 诚心出售 首付可四成 详情可以咨询,西湖-翠苑,翠苑一区  | 1室1厅 | 29平米 | 南 | 其他 | 无电梯,低楼层(共7层)1988年建板楼  -  翠苑,34人关注 / 共2次带看 / 4个月以前发布,143万,单价49311元/平米,
标准开间、诚心卖、48.3平，厨房宽敞、楼层还好。,西湖-翠苑,枫华府第  | 1室0厅 | 48.3平米 | 南 | 简装 | 有电梯,高楼层(共25层)2008年建板楼  -  翠苑,14人关注 / 共8次带看 / 3个月以前发布,215万,单价44514元/平米,
南北通透 中间楼层 配套设施齐*,西湖-翠苑,翠苑一区  | 2室1厅 | 47.46平米 | 南 北 | 简装 | 无电梯,中楼层(共7层)1988年建板楼  -  翠苑,11人关注 / 共0次带看 / 7个月以前发布,230万,单价48462元/平米,
低单价好房   看房随时  诚意出售房主自荐,西湖-翠苑,翠苑一区  | 2室1厅 | 53.55平米 | 南 | 简装 | 无电梯,高楼层(共6层)1988年建板楼  -  翠苑,56人关注 / 共0次带看 / 8个月以前发布,220万,单价41084元/平米,
新上好房，中间楼层，装修清爽，免征综合税，,西湖-翠苑,枫华府第  | 2室1厅 | 77.94平米 | 东 | 简装 | 有电梯,低楼层(共25层)2008年建板楼  -  翠苑,73人关注 / 共0次带看 / 4个月以前发布,380万,单价48756元/平米,
枫华府第新出小高层中间套、得房率高三室,西湖-翠苑,枫华府第  | 3室2厅 | 129平米 | 南 北 | 精装 | 有电梯,中楼层(共11层)2008年建板楼  -  翠苑,21人关注 / 共2次带看 / 3个月以前发布,730万,单价56590元/平米,
房子满五年！南北朝向，户型正气，业主诚心卖,西湖-翠苑,翠苑一区  | 2室1厅 | 48.81平米 | 南 | 其他 | 无电梯,中楼层(共7层)1988年建板楼  -  翠苑,2人关注 / 共3次带看 / 3个月以前发布,225万,单价46098元/平米,
总价低，二区两房朝南经典户型，采光充足，诚心出售房主自荐,西湖-翠苑,翠苑二区  | 2室1厅 | 46.02平米 | 南 | 简装 | 无电梯,高楼层(共7层)1989年建板楼  -  翠苑,14人关注 / 共2次带看 / 3个月以前发布,198万,单价43025元/平米,
明厨明卫；中间楼层；不沿街，远离嘈杂,西湖-翠苑,翠苑三区  | 1室1厅 | 41.09平米 | 南 北 | 简装 | 无电梯,中楼层(共6层)1989年建板楼  -  翠苑,11人关注 / 共6次带看 / 2个月以前发布,170万,单价41373元/平米,
翠苑五区，精装小两房，户型不错,西湖-翠苑,翠苑五区  | 2室1厅 | 58.62平米 | 南 | 精装 | 无电梯,低楼层(共7层)1997年建板楼  -  翠苑,38人关注 / 共3次带看 / 4个月以前发布,270万,单价46060元/平米,
翠苑三区  清爽装修 中间楼层 明厨明卫,西湖-翠苑,翠苑三区  | 3室1厅 | 66.52平米 | 西北 | 精装 | 无电梯,中楼层(共6层)1989年建板楼  -  翠苑,34人关注 / 共5次带看 / 3个月以前发布,238万,单价35779元/平米,
新出三居室，中间楼层，视野宽阔。业主诚售，带车位,西湖-翠苑,枫华府第  | 3室2厅 | 135.32平米 | 南 北 | 精装 | 有电梯,中楼层(共25层)2008年建板楼  -  翠苑,13人关注 / 共4次带看 / 1个月以前发布,780万,单价57642元/平米,
翠苑二区，满两年，中间楼层，精装修，房东诚心出售,西湖-翠苑,翠苑二区  | 1室1厅 | 44.24平米 | 南 | 简装 | 无电梯,中楼层(共7层)1989年建板楼  -  翠苑,4人关注 / 共5次带看 / 1个月以前发布,190万,单价42948元/平米,
翠苑一区新上两室，235万，中间楼层，沿河，采光好,西湖-翠苑,翠苑一区  | 2室1厅 | 50.94平米 | 南 北 | 简装 | 无电梯,中楼层(共7层)1988年建板楼  -  翠苑,5人关注 / 共4次带看 / 1个月以前发布,235万,单价46133元/平米,
翠苑一区，中间楼层，手枪户型，南北户型,西湖-翠苑,翠苑一区  | 2室1厅 | 50.95平米 | 南 北 | 简装 | 无电梯,中楼层(共7层)1988年建板楼  -  翠苑,4人关注 / 共0次带看 / 27天以前发布,238万,单价46713元/平米,
楼层好 户型正、出行便捷、 业主诚心卖,西湖-翠苑,翠苑五区  | 2室2厅 | 79.26平米 | 南 北 | 简装 | 无电梯,中楼层(共7层)1996年建板楼  -  翠苑,11人关注 / 共2次带看 / 21天以前发布,290万,单价36589元/平米,
房子*新装修好.户型*明.两室两厅.两房朝南.....,西湖-翠苑,翠苑三区  | 2室2厅 | 71.86平米 | 南 | 其他 | 无电梯,高楼层(共7层)1989年建板楼  -  翠苑,7人关注 / 共0次带看 / 20天以前发布,300万,单价41748元/平米,
一房朝南，一房朝北，看房方便，房东诚心出售,西湖-翠苑,翠苑四区  | 2室1厅 | 47.79平米 | 南 北 | 简装 | 无电梯,低楼层(共7层)1993年建板楼  -  翠苑,13人关注 / 共6次带看 / 3个月以前发布,200万,单价41850元/平米,
翠苑二区两室，房间户型方正，业主诚心卖。,西湖-翠苑,翠苑二区  | 2室1厅 | 51.69平米 | 南 | 简装 | 无电梯,低楼层(共6层)1989年建板楼  -  翠苑,5人关注 / 共6次带看 / 2个月以前发布,215万,单价41595元/平米,
精装修枫华开间，满五唯一没有双税，看房有钥匙，急售,西湖-翠苑,枫华府第  | 1室0厅 | 46.5平米 | 南 | 精装 | 有电梯,低楼层(共25层)2008年建板楼  -  翠苑,6人关注 / 共0次带看 / 2个月以前发布,235万,单价50538元/平米,
翠苑一区，中间楼层，两室一厅，两房朝南经典户型房主自荐,西湖-翠苑,翠苑一区  | 2室1厅 | 53.42平米 | 南 | 简装 | 无电梯,中楼层(共7层)1988年建板楼  -  翠苑,36人关注 / 共8次带看 / 3个月以前发布,225万,单价42120元/平米,
翠苑五区清爽装修、位置闹中取静，采光好通透性强,西湖-翠苑,翠苑五区  | 2室2厅 | 87.92平米 | 南 北 | 简装 | 无电梯,高楼层(共7层)1998年建板楼  -  翠苑,14人关注 / 共0次带看 / 2个月以前发布,342万,单价38899元/平米,
天苑花园新上大三房，西边套采光强，南北有通透，好房,西湖-翠苑,天苑花园  | 3室2厅 | 101.67平米 | 南 西南 | 精装 | 有电梯,高楼层(共23层)1998年建塔楼  -  翠苑,15人关注 / 共3次带看 / 2个月以前发布,360万,单价35409元/平米,
华星公寓 南北通透三居室 西边套,西湖-翠苑,华星公寓  | 3室1厅 | 88.78平米 | 南 北 | 简装 | 无电梯,中楼层(共6层)1995年建板楼  -  翠苑,6人关注 / 共1次带看 / 2个月以前发布,385万,单价43366元/平米,
翠苑五区双阳台、3居室，闹中取静,西湖-翠苑,翠苑五区  | 3室1厅 | 87.92平米 | 南 北 | 简装 | 无电梯,低楼层(共7层)1998年建板楼  -  翠苑,23人关注 / 共3次带看 / 1个月以前发布,341万,单价38786元/平米,
翠苑一区 三房格局 视野开阔 看房方便,西湖-翠苑,翠苑一区  | 3室1厅 | 60.13平米 | 西 北 | 简装 | 无电梯,高楼层(共7层)1988年建板楼  -  翠苑,46人关注 / 共11次带看 / 3个月以前发布,240万,单价39914元/平米,
翠苑三区 3室1厅 240万,西湖-翠苑,翠苑三区  | 3室1厅 | 66.41平米 | 南 | 简装 | 无电梯,高楼层(共6层)1989年建板楼  -  翠苑,55人关注 / 共0次带看 / 5个月以前发布,240万,单价36140元/平米,
双卧朝南 中间楼层 配套设施齐*,西湖-翠苑,翠苑一区  | 2室1厅 | 49.3平米 | 南 | 毛坯 | 无电梯,中楼层(共7层)1988年建板楼  -  翠苑,23人关注 / 共6次带看 / 7个月以前发布,222万,单价45031元/平米,
楼层好 采光好 视野广阔 好房子,西湖-翠苑,翠苑一区  | 2室1厅 | 47.46平米 | 南 | 其他 | 无电梯,高楼层(共7层)1988年建板楼  -  翠苑,4人关注 / 共1次带看 / 5个月以前发布,220万,单价46355元/平米,
*明精装东边套，带一个景观房，诚心出售，随时看房,西湖-翠苑,景城花园  | 3室2厅 | 118.95平米 | 南 | 精装 | 无电梯,高楼层(共6层)2005年建板楼  -  翠苑,11人关注 / 共0次带看 / 3个月以前发布,598万,单价50274元/平米,
翠苑三区 1室1厅 185万,西湖-翠苑,翠苑三区  | 1室1厅 | 41.28平米 | 南 | 精装 | 无电梯,低楼层(共6层)1989年建板楼  -  翠苑,6人关注 / 共0次带看 / 5个月以前发布,185万,单价44816元/平米,
两房朝南 采光充足 房东诚心出售 看房提前联系,西湖-翠苑,翠苑东四区  | 2室2厅 | 67.54平米 | 南 | 简装 | 无电梯,高楼层(共7层)1998年建板楼  -  翠苑,3人关注 / 共0次带看 / 3个月以前发布,280万,单价41457元/平米,
小区中间位置，采光好，户型南北通透，户型*明。,西湖-翠苑,翠苑四区  | 2室1厅 | 50.98平米 | 南 北 | 简装 | 无电梯,中楼层(共7层)1993年建板楼  -  翠苑,40人关注 / 共6次带看 / 3个月以前发布,235万,单价46097元/平米,
楼层好，精装修，满两年，采光不错,西湖-翠苑,翠苑三区  | 3室1厅 | 66.72平米 | 南 | 精装 | 无电梯,高楼层(共6层)1989年建板楼  -  翠苑,5人关注 / 共0次带看 / 1个月以前发布,270万,单价40468元/平米,
翠苑三区 1室1厅 150万,西湖-翠苑,翠苑三区  | 1室1厅 | 32.78平米 | 南 | 其他 | 无电梯,高楼层(共7层)1989年建板楼  -  翠苑,15人关注 / 共6次带看 / 3个月以前发布,150万,单价45760元/平米,
